"","X","bug_status","resolution","bug_id","creation_ts","reporter","reporter_org","reporter_group","bug_severity","votes","assigned_to","assigned_to_org","assigned_to_group","delta_ts","short_desc","priority","qa_contact","everconfirmed","component_id","outcome","logical_outcome"
"1",1,"ASSIGNED","",747837,"2012-04-22 23:46:45",417710,"uwaterloo.ca","university","normal",0,417710,"uwaterloo.ca","university","2012-04-22 23:46:45","Robocop: Add automated test for Reload Buttons","--",NA,TRUE,1319,"pending",FALSE
"2",2,"ASSIGNED","",747838,"2012-04-22 23:48:31",417710,"uwaterloo.ca","university","normal",0,417710,"uwaterloo.ca","university","2012-04-22 23:48:31","Robocop: Add automated test for confirmation dialog when private data is cleared","--",NA,TRUE,1319,"pending",FALSE
"3",3,"ASSIGNED","",636473,"2011-02-24 09:10:23",94,"drew.ca","other","normal",0,208747,NA,NA,"2011-06-21 14:08:54","""Restore default set"" puts reload button, home button on left hand side of URL bar","--",NA,TRUE,275,"pending",FALSE
"4",4,"ASSIGNED","",804242,"2012-10-22 11:14:51",94,"drew.ca","other","normal",0,372685,NA,NA,"2012-11-06 15:35:04","Tools > Social menu not showing up on FF 17/18 when prefs are manually flipped out of order","--",NA,TRUE,1453,"pending",FALSE
"5",639,"NEW","",456505,"2008-09-22 19:19:30",6605,"utoronto.ca","university","major",1,1,NA,NA,"2008-09-25 18:02:51","Rendering of this pages hangs the browser","--",NA,TRUE,279,"pending",FALSE
"6",640,"NEW","",647738,"2011-04-04 14:17:02",6605,"utoronto.ca","university","minor",0,1,NA,NA,"2011-04-06 09:00:34","Apply downloaded Update now trying to upload to older version....","--",NA,TRUE,279,"pending",FALSE
"7",641,"NEW","",715955,"2012-01-06 10:25:52",417710,"uwaterloo.ca","university","critical",1,1,NA,NA,"2012-01-17 17:02:22","Yahoo mail list creation modal dialog hangs","--",NA,TRUE,279,"pending",FALSE
"8",642,"NEW","",309572,"2005-09-21 21:02:50",217166,"ubc.ca","university","normal",1,1,NA,NA,"2010-01-11 04:28:12","[Mac] ""Window"" menu doesn't show windows created by Java","--",NA,TRUE,276,"pending",FALSE
"9",643,"NEW","",517686,"2009-09-19 09:50:12",358492,"ualberta.ca","university","normal",0,1,NA,NA,"2012-10-03 00:06:25","Save & Quit with multiple monitors need to restore properly on single monitor","--",NA,TRUE,624,"pending",FALSE
"10",644,"NEW","",444942,"2008-07-12 14:02:59",318293,"umontreal.ca","university","normal",0,1,NA,NA,"2012-12-28 11:12:43","SafeBrowsing prevents spin-down","--",NA,TRUE,518,"pending",FALSE
"11",645,"NEW","",761673,"2012-06-05 09:40:51",443688,"ocadu.ca","university","normal",0,1,NA,NA,"2012-06-07 11:17:33","Keyboard focus highlights are not consistently shown","--",NA,TRUE,1319,"pending",FALSE
"12",646,"NEW","",761674,"2012-06-05 09:41:24",443688,"ocadu.ca","university","normal",0,1,NA,NA,"2012-06-07 13:37:56","""+"" button does not show keyboard focus highlight","--",NA,TRUE,1417,"pending",FALSE
"13",647,"NEW","",482779,"2009-03-11 12:50:04",250232,"senecac.on.ca","college","normal",0,1,NA,NA,"2011-04-07 13:12:37","Add litmus tests for -file command-line argument handling","--",NA,TRUE,279,"pending",FALSE
